UniqueID,S1_is_M,S2_is_M,S3_is_M,S4_is_M,S5_is_M,S6_is_M,S1_is_F,S2_is_F,S3_is_F,S4_is_F,S5_is_F,S6_is_F
BxBO_R1,0,0,0,0,0,0,1,1,1,1,1,1
xBBY_R1,0,0,0,0,0,0,1,1,1,1,1,1
xRxB_R1,0,0,0,0,0,0,1,1,1,1,1,1
xxBB_R1,0,0,0,0,0,0,1,1,1,1,1,1
xxBO_R1,0,0,0,0,0,0,1,1,1,1,1,1
xxBR_R1,1,1,1,1,1,1,0,0,0,0,0,0
xxBx_R1,0,0,0,0,0,0,0,0,0,0,0,0
xxOB_R1,0,0,0,0,0,0,1,1,1,1,1,1
xxRx_R1,0,0,0,0,0,0,0,0,0,0,0,0
xxxB_R1,0,0,0,0,0,0,1,1,1,1,1,1
xxxO_R1,0,0,0,0,0,0,0,0,0,0,0,0
xxxR_R1,1,1,1,1,1,1,0,0,0,0,0,0
xxxY_R1,0,0,0,0,0,0,1,1,1,1,1,1
xxYB_R1,1,1,1,1,1,1,0,0,0,0,0,0
xxYO_R1,0,0,0,0,0,0,0,0,0,0,0,0
xxYR_R1,0,0,0,0,0,0,0,0,0,0,0,0
xxYx_R1,0,0,0,0,0,0,0,0,0,0,0,0
xxYY_R1,0,0,0,0,0,0,0,0,0,0,0,0
xYBO_R1,1,1,1,1,1,1,0,0,0,0,0,0
xYYB_R1,0,0,0,0,0,0,1,1,1,1,1,1
xYYO_R1,0,0,0,0,0,0,1,1,1,1,1,1
xYYR_R1,0,0,0,0,0,0,0,0,0,0,0,0
xYYY_R1,0,0,0,0,0,0,0,0,0,0,0,0
YOYx_R1,0,0,0,0,0,0,1,1,1,1,1,1
BxBx_R1,1,1,1,1,1,1,0,0,0,0,0,0
BxOx_R1,1,1,1,1,1,1,0,0,0,0,0,0
BxRx_R1,0,0,0,0,0,0,1,1,1,1,1,1
BxxB_R1,0,0,0,0,0,0,1,1,1,1,1,1
BxxR_R1,0,0,0,0,0,0,1,1,1,1,1,1
BxxY_R1,0,0,0,0,0,0,1,1,1,1,1,1
BxYx_R1,0,0,0,0,0,0,1,1,1,1,1,1
OBxx_R1,1,1,1,1,1,1,0,0,0,0,0,0
OxOx_R1,0,0,0,0,0,0,0,0,0,0,0,0
OxYx_R1,0,0,0,0,0,0,1,1,1,1,1,1
RRxx_R1,0,0,0,0,0,0,0,0,0,0,0,0
RxRB_R1,1,1,1,1,1,1,0,0,0,0,0,0
RxRO_R1,1,1,1,1,1,1,0,0,0,0,0,0
RxRR_R1,0,0,0,0,0,0,1,1,1,1,1,1
xBBB_R1,0,0,0,0,0,0,1,1,1,1,1,1
xBOx_R1,1,1,1,1,1,1,1,1,1,1,1,1
xBRx_R1,0,0,0,0,0,0,1,1,1,1,1,1
xBxB_R1,1,1,1,1,1,1,0,0,0,0,0,0
xBxO_R1,1,1,1,1,1,1,0,0,0,0,0,0
xBxY_R1,1,1,1,1,1,1,0,0,0,0,0,0
xOOB_R1,0,0,0,0,0,0,1,1,1,1,1,1
xOOO_R1,1,1,1,1,1,1,0,0,0,0,0,0
xOOR_R1,1,1,1,1,1,1,0,0,0,0,0,0
xOOY_R1,1,1,1,1,1,1,0,0,0,0,0,0
xORB_R1,0,0,0,0,0,0,1,1,1,1,1,1
xORO_R1,0,0,0,0,0,0,1,1,1,1,1,1
xORR_R1,0,0,0,0,0,0,1,1,1,1,1,1
xORY_R1,1,1,1,1,1,1,0,0,0,0,0,0
xOYB_R1,0,0,0,0,0,0,1,1,1,1,1,1
xOYR_R1,0,0,0,0,0,0,1,1,1,1,1,1
xOYY_R1,0,0,0,0,0,0,1,1,1,1,1,1
xRRR_R1,1,1,1,1,1,1,0,0,0,0,0,0
xRYB_R1,0,0,0,0,0,0,1,1,1,1,1,1
xxBY_R1,0,0,0,0,0,0,1,1,1,1,1,1
xYBR_R1,0,0,0,0,0,0,0,0,0,0,0,0
xYBx_R1,0,0,0,0,0,0,1,1,1,1,1,1
xYOB_R1,1,1,1,1,1,1,0,0,0,0,0,0
xYOx_R1,0,0,0,0,0,0,1,1,1,1,1,1
xYOY_R1,0,0,0,0,0,0,0,0,0,0,0,0
xYRx_R1,0,0,0,0,0,0,0,0,0,0,0,0
xYxY_R1,0,0,0,0,0,0,1,1,1,1,1,1
xYYx_R1,0,0,0,0,0,0,1,1,1,1,1,1
YBxx_R1,0,0,0,0,0,0,1,1,1,1,1,1
OxxO_R1,1,1,1,1,1,1,0,0,0,0,0,0
OxxR_R1,0,0,0,0,0,0,1,1,1,1,1,1
RBxx_R1,0,0,0,0,0,0,1,1,1,1,1,1
RxxO_R1,0,0,0,0,0,0,0,0,0,0,0,0
RxxR_R1,1,1,1,1,1,1,0,0,0,0,0,0
RxxY_R1,0,0,0,0,0,0,1,1,1,1,1,1
xBBx_R1,1,1,1,1,1,1,0,0,0,0,0,0
xBYx_R1,0,0,0,0,0,0,1,1,1,1,1,1
xxOY_R1,0,0,0,0,0,0,1,1,1,1,1,1
xYOO_R1,1,1,1,1,1,1,0,0,0,0,0,0
YBRx_R1,0,0,0,0,0,0,1,1,1,1,1,1
YOYY_R1,0,0,0,0,0,0,1,1,1,1,1,1
BRxx_R1,0,0,0,0,0,0,1,1,1,1,1,1
OxRB_R1,0,0,0,0,0,0,0,0,0,0,0,0
OxRO_R1,1,1,1,1,1,1,0,0,0,0,0,0
OxRx_R1,1,1,1,1,1,1,0,0,0,0,0,0
Oxxx_R1,1,1,1,1,1,1,0,0,0,0,0,0
OxxY_R1,0,0,0,0,0,0,0,0,0,0,0,0
ROBx_R1,0,0,0,0,0,0,0,0,0,0,0,0
ROxB_R1,1,1,1,1,1,1,0,0,0,0,0,0
ROxO_R1,0,0,0,0,0,0,1,1,1,1,1,1
ROxR_R1,0,0,0,0,0,0,0,0,0,0,0,0
ROxY_R1,1,1,1,1,1,1,0,0,0,0,0,0
ROYx_R1,0,0,0,0,0,0,1,1,1,1,1,1
RRBx_R1,1,1,1,1,1,1,0,0,0,0,0,0
RRYx_R1,1,1,1,1,1,1,0,0,0,0,0,0
RxBO_R1,0,0,0,0,0,0,1,1,1,1,1,1
RxOO_R1,0,0,0,0,0,0,1,1,1,1,1,1
RxOR_R1,0,0,0,0,0,0,0,0,0,0,0,0
RxRY_R1,1,1,1,1,1,1,0,0,0,0,0,0
xOBO_R1,1,1,1,1,1,1,0,0,0,0,0,0
xOBR_R1,0,0,0,0,0,0,1,1,1,1,1,1
xOYO_R1,0,0,0,0,0,0,0,0,0,0,0,0
xRBO_R1,1,1,1,1,1,1,0,0,0,0,0,0
xRBR_R1,1,1,1,1,1,1,0,0,0,0,0,0
xRBY_R1,0,0,0,0,0,0,0,0,0,0,0,0
xRxR_R1,1,1,1,1,1,1,0,0,0,0,0,0
xxOx_R1,1,1,1,1,1,1,0,0,0,0,0,0
RBOx_R1,0,0,0,0,0,0,0,0,0,0,0,0
YxOB_R1,0,0,0,0,0,0,0,0,0,0,0,0
YxOO_R1,0,0,0,0,0,0,1,1,1,1,1,1
YxOR_R1,1,1,1,1,1,1,0,0,0,0,0,0
YxOY_R1,0,0,0,0,0,0,1,1,1,1,1,1
YxRB_R1,0,0,0,0,0,0,0,0,0,0,0,0
YxRO_R1,0,0,0,0,0,0,0,0,0,0,0,0
YxRY_R1,0,0,0,0,0,0,1,1,1,1,1,1
BOBx_R1,0,0,0,0,0,0,1,1,1,1,1,1
BOYx_R1,0,0,0,0,0,0,1,1,1,1,1,1
BYxB_R1,1,1,1,1,1,1,0,0,0,0,0,0
BYxO_R1,1,1,1,1,1,1,0,0,0,0,0,0
BYxR_R1,0,0,0,0,0,0,1,1,1,1,1,1
BYxY_R1,0,0,0,0,0,0,0,0,0,0,0,0
RYOY_R1,0,0,0,0,0,0,1,1,1,1,1,1
RYxB_R1,0,0,0,0,0,0,0,0,0,0,0,0
xxRR_R1,1,1,1,1,1,1,0,0,0,0,0,0
YRxB_R1,0,0,0,0,0,0,1,1,1,1,1,1
YRxR_R1,0,0,0,0,0,0,0,0,0,0,0,0
YRxY_R1,0,0,0,0,0,0,0,0,0,0,0,0
YxBB_R1,0,0,0,0,0,0,1,1,1,1,1,1
YxBO_R1,0,0,0,0,0,0,1,1,1,1,1,1
YxBR_R1,0,0,0,0,0,0,1,1,1,1,1,1
YxBY_R1,0,0,0,0,0,0,1,1,1,1,1,1
YxYB_R1,0,0,0,0,0,0,0,0,0,0,0,0
YxYO_R1,0,0,0,0,0,0,1,1,1,1,1,1
YxYR_R1,0,0,0,0,0,0,1,1,1,1,1,1
BxBO_R2,0,0,0,0,0,0,1,1,1,1,1,1
Oxxx_R2,0,0,0,0,0,0,1,1,1,1,1,1
Rxxx_R2,0,0,0,0,0,0,0,0,0,0,0,0
xBxR_R2,0,0,0,0,0,0,0,0,0,0,0,0
xBxx_R2,0,0,0,0,0,0,0,0,0,0,0,0
xOxR_R2,1,1,1,1,1,1,0,0,0,0,0,0
xRRx_R2,0,0,0,0,0,0,0,0,0,0,0,0
xRxB_R2,0,0,0,0,0,0,1,1,1,1,1,1
xRxO_R2,0,0,0,0,0,0,1,1,1,1,1,1
xRxR_R2,0,0,0,0,0,0,1,1,1,1,1,1
xRxY_R2,0,0,0,0,0,0,1,1,1,1,1,1
xxOB_R2,0,0,0,0,0,0,1,1,1,1,1,1
xxOR_R2,1,1,1,1,1,1,0,0,0,0,0,0
xxOx_R2,1,1,1,1,1,1,0,0,0,0,0,0
xxOY_R2,0,0,0,0,0,0,1,1,1,1,1,1
xxRB_R2,1,1,1,1,1,1,0,0,0,0,0,0
xxRO_R2,1,1,1,1,1,1,0,0,0,0,0,0
xxRR_R2,1,1,1,1,1,1,0,0,0,0,0,0
xxRY_R2,0,0,0,0,0,0,0,0,0,0,0,0
xYxB_R2,0,0,0,0,0,0,0,0,0,0,0,0
xYxO_R2,0,0,0,0,0,0,1,1,1,1,1,1
xYxR_R2,1,1,1,1,1,1,0,0,0,0,0,0
xYxx_R2,0,0,0,0,0,0,1,1,1,1,1,1
Yxxx_R2,1,1,1,1,1,1,1,1,1,1,1,1
BOxx_R2,0,0,0,0,0,0,1,1,1,1,1,1
BRxx_R2,0,0,0,0,0,0,1,1,1,1,1,1
BxBx_R2,1,1,1,1,1,1,1,1,1,1,1,1
Bxxx_R2,0,0,0,0,0,0,0,0,0,0,0,0
OBxx_R2,0,0,0,0,0,0,1,1,1,1,1,1
OOxx_R2,1,1,1,1,1,1,0,0,0,0,0,0
ORxx_R2,0,0,0,0,0,0,1,1,1,1,1,1
OxBx_R2,1,1,1,1,1,1,0,0,0,0,0,0
OYxx_R2,0,0,0,0,0,0,1,1,1,1,1,1
RBOB_R2,1,1,1,1,1,1,0,0,0,0,0,0
ROxx_R2,0,0,0,0,0,0,1,1,1,1,1,1
RRxx_R2,1,1,1,1,1,1,0,0,0,0,0,0
RxBx_R2,0,0,0,0,0,0,1,1,1,1,1,1
RxxB_R2,0,0,0,0,0,0,1,1,1,1,1,1
RxYx_R2,1,1,1,1,1,1,0,0,0,0,0,0
RYxx_R2,1,1,1,1,1,1,0,0,0,0,0,0
xBOB_R2,1,1,1,1,1,1,0,0,0,0,0,0
xBOO_R2,1,1,1,1,1,1,0,0,0,0,0,0
xBOY_R2,0,0,0,0,0,0,1,1,1,1,1,1
xBxO_R2,1,1,1,1,1,1,0,0,0,0,0,0
xOBR_R2,0,0,0,0,0,0,1,1,1,1,1,1
xOBx_R2,1,1,1,1,1,1,1,1,1,1,1,1
xOBY_R2,0,0,0,0,0,0,1,1,1,1,1,1
xOOx_R2,1,1,1,1,1,1,0,0,0,0,0,0
xORx_R2,0,0,0,0,0,0,1,1,1,1,1,1
xOxB_R2,0,0,0,0,0,0,1,1,1,1,1,1
xOxO_R2,0,0,0,0,0,0,0,0,0,0,0,0
xOxx_R2,0,0,0,0,0,0,1,1,1,1,1,1
xOxY_R2,0,0,0,0,0,0,1,1,1,1,1,1
xRBx_R2,1,1,1,1,1,1,0,0,0,0,0,0
xROB_R2,0,0,0,0,0,0,1,1,1,1,1,1
xROO_R2,0,0,0,0,0,0,1,1,1,1,1,1
xROx_R2,0,0,0,0,0,0,1,1,1,1,1,1
xROY_R2,0,0,0,0,0,0,1,1,1,1,1,1
xRRB_R2,0,0,0,0,0,0,1,1,1,1,1,1
xRRO_R2,0,0,0,0,0,0,1,1,1,1,1,1
xRRY_R2,0,0,0,0,0,0,1,1,1,1,1,1
xRYO_R2,0,0,0,0,0,0,1,1,1,1,1,1
xRYR_R2,0,0,0,0,0,0,1,1,1,1,1,1
xRYx_R2,0,0,0,0,0,0,1,1,1,1,1,1
xRYY_R2,0,0,0,0,0,0,1,1,1,1,1,1
xxBR_R2,1,1,1,1,1,1,0,0,0,0,0,0
xxOO_R2,0,0,0,0,0,0,1,1,1,1,1,1
xYBY_R2,0,0,0,0,0,0,1,1,1,1,1,1
xYOO_R2,0,0,0,0,0,0,1,1,1,1,1,1
YOxx_R2,0,0,0,0,0,0,1,1,1,1,1,1
YRxx_R2,0,0,0,0,0,0,1,1,1,1,1,1
YxBx_R2,0,0,0,0,0,0,1,1,1,1,1,1
YxOx_R2,1,1,1,1,1,1,0,0,0,0,0,0
YxRx_R2,0,0,0,0,0,0,1,1,1,1,1,1
YxxB_R2,1,1,1,1,1,1,0,0,0,0,0,0
YxxR_R2,0,0,0,0,0,0,1,1,1,1,1,1
YxxY_R2,1,1,1,1,1,1,0,0,0,0,0,0
YxYx_R2,0,0,0,0,0,0,0,0,0,0,0,0
YYxx_R2,0,0,0,0,0,0,1,1,1,1,1,1
xBBO_R2,0,0,0,0,0,0,1,1,1,1,1,1
xBBR_R2,1,1,1,1,1,1,0,0,0,0,0,0
xBYB_R2,1,1,1,1,1,1,0,0,0,0,0,0
xBYO_R2,0,0,0,0,0,0,1,1,1,1,1,1
xBYR_R2,0,0,0,0,0,0,1,1,1,1,1,1
xBYY_R2,1,1,1,1,1,1,0,0,0,0,0,0
xROR_R2,0,0,0,0,0,0,1,1,1,1,1,1
YBxx_R2,1,1,1,1,1,1,0,0,0,0,0,0
Yoxx_R2,0,0,0,0,0,0,1,1,1,1,1,1
BBxx_R2,0,0,0,0,0,0,0,0,0,0,0,0
Boxx_R2,0,0,0,0,0,0,1,1,1,1,1,1
BxBB_R2,1,1,1,1,1,1,0,0,0,0,0,0
BxBR_R2,1,1,1,1,1,1,0,0,0,0,0,0
BxRB_R2,0,0,0,0,0,0,0,0,0,0,0,0
BxRR_R2,1,1,1,1,1,1,0,0,0,0,0,0
BYxx_R2,0,0,0,0,0,0,0,0,0,0,0,0
OYxR_R2,0,0,0,0,0,0,1,1,1,1,1,1
RBRY_R2,0,0,0,0,0,0,1,1,1,1,1,1
RBxO_R2,1,1,1,1,1,1,0,0,0,0,0,0
RBxR_R2,1,1,1,1,1,1,0,0,0,0,0,0
RBxY_R2,0,0,0,0,0,0,1,1,1,1,1,1
ROBx_R2,0,0,0,0,0,0,0,0,0,0,0,0
RORx_R2,1,1,1,1,1,1,0,0,0,0,0,0
RRBx_R2,0,0,0,0,0,0,0,0,0,0,0,0
RROx_R2,1,1,1,1,1,1,0,0,0,0,0,0
RRRx_R2,1,1,1,1,1,1,0,0,0,0,0,0
RRxO_R2,1,1,1,1,1,1,0,0,0,0,0,0
RRxR_R2,1,1,1,1,1,1,0,0,0,0,0,0
RRxY_R2,1,1,1,1,1,1,0,0,0,0,0,0
RxBB_R2,0,0,0,0,0,0,0,0,0,0,0,0
RxBO_R2,0,0,0,0,0,0,1,1,1,1,1,1
RxOB_R2,0,0,0,0,0,0,1,1,1,1,1,1
RxOY_R2,0,0,0,0,0,0,1,1,1,1,1,1
RxRY_R2,1,1,1,1,1,1,0,0,0,0,0,0
RxYO_R2,1,1,1,1,1,1,0,0,0,0,0,0
RxYY_R2,0,0,0,0,0,0,0,0,0,0,0,0
RYxB_R2,1,1,1,1,1,1,0,0,0,0,0,0
xBRB_R2,1,1,1,1,1,1,0,0,0,0,0,0
xBRO_R2,0,0,0,0,0,0,1,1,1,1,1,1
xBRR_R2,1,1,1,1,1,1,0,0,0,0,0,0
xBRY_R2,1,1,1,1,1,1,0,0,0,0,0,0
xOOR_R2,0,0,0,0,0,0,1,1,1,1,1,1
xORB_R2,0,0,0,0,0,0,1,1,1,1,1,1
xORY_R2,1,1,1,1,1,1,0,0,0,0,0,0
xOYB_R2,0,0,0,0,0,0,1,1,1,1,1,1
xRBB_R2,0,0,0,0,0,0,1,1,1,1,1,1
xxYx_R2,1,1,1,1,1,1,0,0,0,0,0,0
xYBB_R2,1,1,1,1,1,1,0,0,0,0,0,0
xYRB_R2,1,1,1,1,1,1,0,0,0,0,0,0
xYRO_R2,0,0,0,0,0,0,0,0,0,0,0,0
xYRR_R2,0,0,0,0,0,0,1,1,1,1,1,1
xYRY_R2,0,0,0,0,0,0,1,1,1,1,1,1
RBOx_R2,0,0,0,0,0,0,1,1,1,1,1,1
RBRx_R2,0,0,0,0,0,0,1,1,1,1,1,1
RBxB_R2,1,1,1,1,1,1,0,0,0,0,0,0
RBYx_R2,0,0,0,0,0,0,1,1,1,1,1,1
RRxB_R2,0,0,0,0,0,0,0,0,0,0,0,0
OOxR_R2,0,0,0,0,0,0,0,0,0,0,0,0
OROx_R2,0,0,0,0,0,0,0,0,0,0,0,0
ORRx_R2,0,0,0,0,0,0,0,0,0,0,0,0
ORxO_R2,0,0,0,0,0,0,1,1,1,1,1,1
ORxR_R2,0,0,0,0,0,0,1,1,1,1,1,1
ORXY_R2,0,0,0,0,0,0,1,1,1,1,1,1
ORYx_R2,0,0,0,0,0,0,1,1,1,1,1,1
OxBB_R2,0,0,0,0,0,0,1,1,1,1,1,1
OxBO_R2,1,1,1,1,1,1,0,0,0,0,0,0
OxBR_R2,0,0,0,0,0,0,0,0,0,0,0,0
OxRR_R2,0,0,0,0,0,0,1,1,1,1,1,1
OxYB_R2,0,0,0,0,0,0,0,0,0,0,0,0
OxYO_R2,0,0,0,0,0,0,0,0,0,0,0,0
OxYY_R2,0,0,0,0,0,0,0,0,0,0,0,0
OYxB_R2,0,0,0,0,0,0,0,0,0,0,0,0
OYxO_R2,0,0,0,0,0,0,0,0,0,0,0,0
OYxY_R2,0,0,0,0,0,0,1,1,1,1,1,1
xOYx_R2,0,0,0,0,0,0,1,1,1,1,1,1
YOOx_R2,0,0,0,0,0,0,0,0,0,0,0,0
YORx_R2,0,0,0,0,0,0,1,1,1,1,1,1
YRxO_R2,0,0,0,0,0,0,0,0,0,0,0,0
yXXr_R2,0,0,0,0,0,0,1,1,1,1,1,1
yyXX_R2,0,0,0,0,0,0,1,1,1,1,1,1
BBBY_S1,0,0,0,0,0,0,1,1,1,1,1,1
OxOO_S1,1,1,1,1,1,1,0,0,0,0,0,0
OxOR_S1,0,0,0,0,0,0,1,1,1,1,1,1
OxRB_S1,0,0,0,0,0,0,1,1,1,1,1,1
OxRY_S1,0,0,0,0,0,0,1,1,1,1,1,1
OYOR_S1,0,0,0,0,0,0,1,1,1,1,1,1
OYRO_S1,0,0,0,0,0,0,1,1,1,1,1,1
RBxR_S1,1,1,1,1,1,1,0,0,0,0,0,0
ROBx_S1,0,0,0,0,0,0,1,1,1,1,1,1
ROOx_S1,1,1,1,1,1,1,0,0,0,0,0,0
RORx_S1,0,0,0,0,0,0,1,1,1,1,1,1
ROxB_S1,0,0,0,0,0,0,1,1,1,1,1,1
ROxY_S1,0,0,0,0,0,0,1,1,1,1,1,1
ROYx_S1,1,1,1,1,1,1,0,0,0,0,0,0
RRBx_S1,0,0,0,0,0,0,0,0,0,0,0,0
RROR_S1,1,1,1,1,1,1,0,0,0,0,0,0
RRRR_S1,0,0,0,0,0,0,1,1,1,1,1,1
RRYR_S1,0,0,0,0,0,0,0,0,0,0,0,0
RxOR_S1,1,1,1,1,1,1,0,0,0,0,0,0
RxOY_S1,0,0,0,0,0,0,1,1,1,1,1,1
RxRB_S1,0,0,0,0,0,0,1,1,1,1,1,1
RxRO_S1,0,0,0,0,0,0,1,1,1,1,1,1
RxRR_S1,0,0,0,0,0,0,1,1,1,1,1,1
RxRY_S1,0,0,0,0,0,0,1,1,1,1,1,1
RYBx_S1,0,0,0,0,0,0,0,0,0,0,0,0
RYOx_S1,0,0,0,0,0,0,1,1,1,1,1,1
RYRx_S1,0,0,0,0,0,0,1,1,1,1,1,1
RYxB_S1,1,1,1,1,1,1,0,0,0,0,0,0
RYxO_S1,0,0,0,0,0,0,0,0,0,0,0,0
RYxR_S1,0,0,0,0,0,0,0,0,0,0,0,0
RYxY_S1,0,0,0,0,0,0,1,1,1,1,1,1
RYYx_S1,0,0,0,0,0,0,1,1,1,1,1,1
RYYY_S1,0,0,0,0,0,0,1,1,1,1,1,1
xBBB_S1,1,1,1,1,1,1,0,0,0,0,0,0
xBBY_S1,0,0,0,0,0,0,1,1,1,1,1,1
xBxB_S1,1,1,1,1,1,1,0,0,0,0,0,0
xRYB_S1,0,0,0,0,0,0,0,0,0,0,0,0
xxBO_S1,0,0,0,0,0,0,1,1,1,1,1,1
xxBR_S1,1,1,1,1,1,1,0,0,0,0,0,0
xxOx_S1,0,0,0,0,0,0,0,0,0,0,0,0
xxRB_S1,0,0,0,0,0,0,1,1,1,1,1,1
xxxO_S1,1,1,1,1,1,1,0,0,0,0,0,0
xxxR_S1,0,0,0,0,0,0,0,0,0,0,0,0
xxxY_S1,0,0,0,0,0,0,0,0,0,0,0,0
xxYB_S1,1,1,1,1,1,1,0,0,0,0,0,0
xxYY_S1,0,0,0,0,0,0,1,1,1,1,1,1
xYBO_S1,0,0,0,0,0,0,1,1,1,1,1,1
xYBR_S1,0,0,0,0,0,0,1,1,1,1,1,1
